t_sim,x,y,z
34.960,35.787979,3.955889,48.785061
35.166,35.932735,3.991775,49.170490
35.374,36.078175,4.027826,49.557709
35.597,36.234173,4.066495,49.973061
35.803,36.378857,4.102361,50.358292
36.011,36.524620,4.138495,50.746372
36.217,36.668804,4.174240,51.130306
36.423,36.813091,4.210006,51.514473
36.629,36.957283,4.245745,51.898373
36.837,37.102894,4.281841,52.286095
37.043,37.247528,4.317692,52.671185
0.000,0.000000,0.000000,0.000000
0.020,0.000000,0.000000,0.000000
0.020,0.000000,0.000000,0.000000
0.194,0.190173,0.000000,0.000000
0.421,0.645319,0.000000,0.000000
0.633,1.067955,0.000000,0.000000
0.840,1.483582,0.000000,0.000000
1.047,1.892838,0.000000,0.000000
1.256,2.310525,0.000000,0.000000
1.465,2.727381,0.000000,0.000000
1.674,3.146745,0.000000,0.000000
1.884,3.566005,0.000000,0.000000
2.091,3.981097,0.000000,0.000000
2.299,4.396582,0.000000,0.000000
2.507,4.812658,0.000000,0.000000
2.715,5.227246,0.000000,0.000000
2.924,5.645722,0.000000,0.000000
3.132,6.061650,0.000000,0.000000
3.341,6.479229,0.000000,0.000000
3.549,6.895597,0.000000,0.000000
3.756,7.309934,0.000000,0.000000
3.964,7.726266,0.000000,0.000000
4.175,8.148357,0.000000,0.000000
4.386,8.570432,0.000000,0.000000
4.595,8.988994,0.000000,0.000000
4.827,9.452778,0.000000,0.000000
5.035,9.868816,0.000000,0.000000
5.242,10.283065,0.000000,0.000000
5.452,10.701872,0.000000,0.000000
5.659,11.116520,0.000000,0.000000
5.866,11.531119,0.000000,0.000000
6.075,11.947584,0.000000,0.000000
6.282,12.361938,0.000000,0.000000
6.492,12.783174,0.000000,0.000000
6.706,13.210412,0.000000,0.000000
6.915,13.627923,0.000000,0.000000
7.123,14.044870,0.000000,0.000000
7.330,14.458757,0.000000,0.000000
7.545,14.887277,0.000000,0.000000
7.752,15.301116,0.000000,0.021255
7.959,15.713416,0.000000,0.060254
8.166,16.119043,0.000000,0.137175
8.373,16.517017,0.000000,0.250194
8.582,16.911619,0.000000,0.386635
8.790,17.287325,0.000000,0.567497
8.999,17.648561,0.000000,0.774642
9.209,18.000954,0.000000,1.005196
9.449,18.364302,0.000000,1.317111
9.662,18.664797,0.000000,1.618660
9.871,18.941187,0.000000,1.930241
10.080,19.177492,0.000000,2.276402
10.291,19.392591,0.000000,2.637152
10.500,19.581318,0.000000,3.011129
10.710,19.724731,0.000000,3.406017
10.920,19.844456,0.000000,3.807176
11.134,19.932096,0.000000,4.227019
11.341,19.972816,0.000000,4.636704
11.548,19.990791,0.000000,5.050943
11.758,19.967396,0.000000,5.470337
11.998,19.895786,0.000000,5.943963
12.205,19.873194,0.008790,6.345587
12.412,20.016077,0.044446,6.733612
12.619,20.158182,0.079906,7.119515
12.832,20.304670,0.116461,7.517321
13.038,20.447054,0.151991,7.903978
13.245,20.589661,0.187580,8.291264
13.452,20.731823,0.223055,8.677322
13.659,20.874104,0.258558,9.063690
13.866,21.016922,0.294196,9.451523
14.072,21.159988,0.329757,9.835530
14.278,21.304211,0.365513,10.219656
14.483,21.448374,0.401249,10.603573
14.689,21.592606,0.437005,10.987696
14.896,21.737654,0.472964,11.374009
15.104,21.882811,0.508948,11.760585
15.310,22.027428,0.544802,12.145765
15.517,22.172405,0.580743,12.531880
15.727,22.319082,0.617106,12.922533
15.933,22.463490,0.652905,13.307055
16.140,22.608578,0.688872,13.693382
16.350,22.755415,0.725270,14.084351
16.556,22.900049,0.761123,14.469456
16.763,23.045303,0.797129,14.856207
16.970,23.189854,0.832962,15.241090
17.176,23.334393,0.868790,15.625928
17.383,23.479708,0.904812,16.012846
17.589,23.623945,0.940568,16.396904
17.799,23.770613,0.976924,16.787416
18.009,23.917702,1.013387,17.179066
18.226,24.069613,1.051043,17.583536
18.454,24.229364,1.090643,18.008892
18.659,24.373114,1.126278,18.391659
18.867,24.518681,1.162363,18.779242
19.071,24.662052,1.197901,19.160976
19.277,24.806236,1.233643,19.544886
19.485,24.951843,1.269740,19.932598
19.690,25.095613,1.305379,20.315401
19.896,25.240067,1.341187,20.700018
20.103,25.384989,1.377112,21.085897
20.309,25.529194,1.412856,21.469828
20.517,25.674580,1.448895,21.856915
20.723,25.819181,1.484740,22.241957
20.930,25.964403,1.520740,22.628643
21.137,26.108952,1.556571,23.013506
21.343,26.253607,1.592428,23.398659
21.550,26.398378,1.628316,23.784143
21.757,26.543242,1.664227,24.169876
21.962,26.687389,1.699961,24.553696
22.169,26.831816,1.735761,24.938238
22.376,26.977028,1.771758,25.324881
22.583,27.122223,1.807749,25.711464
22.794,27.269768,1.844325,26.104322
23.001,27.414738,1.880260,26.490309
23.207,27.559525,1.916151,26.875820
23.421,27.709219,1.953260,27.274401
23.659,27.875769,1.994547,27.717880
23.875,28.027578,2.032178,28.122078
24.083,28.173019,2.068229,28.509314
24.290,28.318016,2.104172,28.895380
24.499,28.464243,2.140419,29.284716
24.715,28.615929,2.178021,29.688612
24.925,28.762543,2.214364,30.078981
25.130,28.906502,2.250051,30.462317
25.337,29.051706,2.286043,30.848915
25.544,29.196346,2.321898,31.234026
25.751,29.341198,2.357804,31.619715
25.957,29.485680,2.393618,32.004414
26.163,29.630323,2.429476,32.389542
26.370,29.775175,2.465385,32.775242
26.576,29.919699,2.501210,33.160049
26.784,30.065018,2.537233,33.546986
26.991,30.210220,2.573229,33.933632
27.198,30.355253,2.609181,34.319790
27.405,30.500021,2.645065,34.705235
27.612,30.645445,2.681115,35.092422
27.818,30.789751,2.716887,35.476665
28.025,30.934242,2.752705,35.861389
28.231,31.078421,2.788445,36.245274
28.437,31.223022,2.824290,36.630306
28.650,31.372156,2.861257,37.027374
28.863,31.521683,2.898320,37.425495
29.071,31.667500,2.934466,37.813736
29.296,31.824928,2.973490,38.232895
29.503,31.969538,3.009336,38.617928
29.711,32.115295,3.045469,39.006023
29.919,32.261349,3.081674,39.394913
30.127,32.406662,3.117699,39.781864
30.335,32.552444,3.153839,40.170067
30.541,32.696629,3.189573,40.553898
30.750,32.843178,3.225907,40.944164
30.956,32.988029,3.261809,41.329803
31.163,33.133030,3.297755,41.715893
31.374,33.280739,3.334370,42.109173
31.582,33.426479,3.370502,42.497272
31.791,33.572613,3.406727,42.886360
31.997,33.717220,3.442573,43.271389
32.205,33.862858,3.478678,43.659206
32.413,34.008240,3.514714,44.046291
32.621,34.153816,3.550802,44.433914
32.828,34.298943,3.586781,44.820366
33.039,34.446819,3.623437,45.214104
33.247,34.592834,3.659627,45.602848
33.454,34.737770,3.695556,45.988770
33.663,34.884090,3.731824,46.378307
33.871,35.029705,3.767921,46.766014
34.079,35.175686,3.804106,47.154686
34.288,35.321835,3.840337,47.543846
34.495,35.467186,3.876367,47.930843
34.720,35.624821,3.915441,48.350536
34.943,35.780964,3.954146,48.766270
35.190,35.953926,3.997022,49.226795
35.396,36.097858,4.032701,49.610065
35.607,36.246140,4.069459,50.004883
35.815,36.391689,4.105539,50.392448
36.022,36.536392,4.141409,50.777756
36.230,36.682449,4.177615,51.166656
36.455,36.840229,4.216722,51.586708
36.679,36.996830,4.255541,52.003674
36.887,37.142380,4.291625,52.391266
37.095,37.288342,4.327808,52.779903
37.304,37.434521,4.364047,53.169121
37.508,37.577702,4.399541,53.550369
37.720,37.726219,4.436360,53.945854
37.928,37.871719,4.472431,54.333282
38.133,38.015511,4.508073,54.716118
38.341,38.161392,4.544232,55.104504
38.548,38.305901,4.580056,55.489319
38.754,38.450508,4.615901,55.874340
38.961,38.595287,4.651786,56.259781
39.168,38.740665,4.687826,56.646870
39.374,38.884651,4.723516,57.030231
39.582,39.030251,4.759610,57.417919
39.794,39.179058,4.796494,57.814117
40.001,39.324196,4.832469,58.200531
40.208,39.468967,4.868360,58.586021
40.415,39.613983,4.904307,58.972149
40.621,39.758232,4.940063,59.356201
40.829,39.903828,4.976158,59.743908
41.036,39.795441,4.995848,59.981915
41.240,39.391685,4.996212,60.043064
41.447,38.981842,4.996580,60.105129
41.653,38.574207,4.996948,60.166847
41.863,38.160511,4.997319,60.229496
42.071,37.748314,4.997690,60.291943
42.295,37.305443,4.998088,60.359028
42.502,36.896194,4.998455,60.421009
42.717,36.471912,4.998837,60.485271
42.923,36.063992,4.999204,60.547058
43.127,35.659809,4.999568,60.608265
43.335,35.248901,4.999935,60.670502
43.544,35.597183,4.999957,60.803940
43.751,35.988186,4.999957,60.940540
43.958,36.379642,4.999958,61.077305
44.164,36.767937,4.999959,61.212952
44.371,37.159946,4.999973,61.349918
44.578,37.549683,4.999994,61.486076
44.787,37.927311,4.999998,61.663128
44.993,38.298027,4.999998,61.844925
45.200,38.669262,4.999998,62.026939
45.407,39.042274,4.999998,62.209873
45.614,39.413078,4.999998,62.391697
45.821,39.785259,4.999998,62.574188
46.033,40.150280,4.999998,62.786762
46.240,40.495632,4.999998,63.016342
46.448,40.841541,4.999998,63.246300
46.655,41.186642,4.999998,63.475708
46.861,41.529434,4.999998,63.703594
47.066,41.871880,4.999998,63.931236
47.276,42.211845,4.999998,64.173477
47.483,42.523945,4.999998,64.445786
47.696,42.844864,4.999998,64.725800
47.912,43.170734,4.999998,65.010170
48.147,43.525116,4.999998,65.319443
48.354,43.837597,4.999998,65.592133
48.561,44.143524,4.999998,65.869156
48.769,44.418022,4.999998,66.180611
48.974,44.690323,4.999998,66.489578
49.182,44.964474,4.999998,66.800636
49.388,45.237404,4.999998,67.110313
49.595,45.511497,4.999998,67.421303
49.812,45.798096,4.999999,67.746513
50.019,46.033916,4.999999,68.084579
50.226,46.264977,4.999999,68.428558
50.433,46.496601,4.999999,68.773392
50.641,46.728458,4.999999,69.118538
50.850,46.961311,4.999999,69.465210
51.059,47.194107,4.999999,69.811852
51.266,47.398705,4.999999,70.171555
51.476,47.585323,4.999999,70.547783
51.683,47.769348,4.999999,70.918701
51.891,47.954082,4.999999,71.291039
52.099,48.138630,4.999999,71.663078
52.342,48.355072,4.999999,72.099380
52.552,48.518326,4.999999,72.484100
52.850,48.711487,4.999999,73.048759
53.056,48.844692,4.999999,73.438293
53.382,49.056004,4.999999,74.056091
53.659,49.235138,4.999999,74.579849
53.878,49.348083,4.999999,75.001030
54.084,49.429562,4.999999,75.405853
54.291,49.511353,4.999999,75.812073
54.523,49.602768,4.999999,76.266205
54.732,49.685230,4.999999,76.675758
54.940,49.767391,4.999999,77.083916
55.152,49.830288,4.999999,77.501686
55.359,49.858437,4.999999,77.916084
55.566,49.886494,4.999999,78.329277
55.775,49.914803,4.999999,78.745987
55.983,49.942963,4.999999,79.160439
56.190,49.971043,4.999999,79.573914
56.397,49.994534,4.999999,79.986931
56.642,49.963615,4.999999,80.476654
56.852,49.937244,4.999999,80.894394
57.060,49.910946,4.999999,81.310822
57.269,49.884674,4.999999,81.726936
57.499,49.855690,4.999999,82.186340
57.706,49.824776,4.999999,82.600052
57.915,49.744160,4.999999,83.010262
58.123,49.663986,4.999999,83.418251
58.337,49.581623,4.999999,83.837357
58.545,49.501587,4.999999,84.244659
58.753,49.421059,4.999999,84.654442
58.960,49.341293,4.999999,85.060471
59.173,49.214474,4.999999,85.465919
59.380,49.082386,4.999999,85.858078
59.592,48.946995,4.999999,86.259972
59.798,48.815235,4.999999,86.651192
60.005,48.683132,4.999999,87.043419
60.215,48.549324,4.999999,87.440697
60.427,48.383511,4.999999,87.831032
60.648,48.189026,4.999999,88.227898
60.855,48.007271,4.999999,88.598747
61.064,47.823109,4.999999,88.974495
61.272,47.639843,4.999999,89.348427
61.481,47.455700,4.999999,89.724152
61.689,47.255409,4.999999,90.086464
61.898,47.024361,4.999999,90.434082
62.105,46.795105,4.999999,90.779022
62.313,46.564697,4.999999,91.125648
62.524,46.330540,4.999999,91.477936
62.732,46.100468,4.999999,91.824112
62.938,45.868149,4.999999,92.164391
63.145,45.596081,4.999999,92.476120
63.353,45.323017,4.999999,92.789009
63.561,45.048515,4.999999,93.103569
63.769,44.775646,4.999999,93.416199
63.981,44.496296,4.999999,93.736313
64.194,44.217014,4.999999,94.056343
64.403,43.909718,4.999999,94.338593
64.610,43.598179,4.999999,94.613113
64.835,43.261150,4.999999,94.910133
65.042,42.950809,4.999999,95.183586
65.249,42.639565,4.999999,95.457878
65.457,42.327469,4.999999,95.732895
65.664,41.995689,4.999999,95.979912
65.871,41.652794,4.999999,96.210258
66.078,41.308281,4.999999,96.441658
66.285,40.965103,4.999999,96.672188
66.491,40.622757,4.999999,96.902153
66.699,40.277302,4.999999,97.134232
66.907,39.924038,5.000000,97.351158
67.116,39.549633,5.000000,97.536896
67.323,39.179302,5.000000,97.720650
67.529,38.810150,5.000000,97.903793
67.737,38.436363,5.000000,98.089233
67.946,38.062382,5.000000,98.274803
68.156,37.686115,5.000000,98.459641
68.364,37.292595,5.000000,98.594337
68.573,36.896385,5.000000,98.729912
68.781,36.503170,5.000000,98.864441
68.990,36.107895,5.000000,98.999748
69.195,35.718719,5.000000,99.132927
69.403,35.326752,5.000000,99.267059
69.659,34.827755,5.000000,99.382637
69.866,34.422379,5.000000,99.464195
70.076,34.010689,5.000000,99.547012
70.282,33.606194,5.000000,99.628441
70.491,33.196556,5.000000,99.710907
70.699,32.789650,5.000000,99.792831
70.913,32.363697,5.000000,99.841057
71.120,31.951227,5.000000,99.868805
71.330,31.532431,5.000000,99.896965
71.539,31.115030,5.000000,99.925056
71.748,30.697989,5.000000,99.953072
71.958,30.279650,5.000000,99.981186
72.165,29.865311,5.000000,99.985352
72.375,29.446615,5.000000,99.958893
72.587,29.024048,5.000000,99.932182
72.822,28.554020,5.000000,99.902489
73.031,28.136969,5.000000,99.876137
73.237,27.725454,5.000000,99.850121
73.445,27.312183,5.000000,99.807106
73.652,26.906523,5.000000,99.727440
73.863,26.492210,5.000000,99.646111
74.070,26.087109,5.000000,99.566582
74.279,25.677004,5.000000,99.486053
74.486,25.270878,5.000000,99.406319
74.693,24.863678,5.000000,99.326385
0.000,0.000000,0.000000,0.000000
0.020,0.000000,0.000000,0.000000
0.219,0.000000,0.000000,0.000000
0.552,0.000000,0.000000,0.000000
0.552,0.000000,0.000000,0.000000
0.552,0.000000,0.000000,0.000000
0.938,0.000000,0.000000,0.000000
1.237,0.000000,0.000000,0.000000
1.237,0.000000,0.000000,0.000000
1.570,0.000000,0.000000,0.000000
1.570,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
2.237,0.000000,0.000000,0.000000
2.237,0.000000,0.000000,0.000000
2.570,0.000000,0.000000,0.000000
2.570,0.000000,0.000000,0.000000
2.570,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
CUBE_2,11.802,2.063515,0.000000,2.329527
CUBE_2,12.009,1.789666,0.000000,2.020375
CUBE_2,12.215,1.516513,0.000000,1.712011
CUBE_2,12.422,1.241284,0.000000,1.401301
CUBE_2,12.630,0.965679,0.000000,1.090167
CUBE_2,12.840,0.687578,0.000000,0.776216
CUBE_2,13.045,0.415068,0.000000,0.468576
CUBE_2,13.250,0.143214,0.000000,0.161676
CUBE_2,13.455,0.274341,0.000000,0.031400
CUBE_2,13.662,0.686869,0.000000,0.023307
CUBE_2,13.867,1.096793,0.000000,0.015266
CUBE_2,14.088,1.539415,0.000000,0.006583
CUBE_2,14.295,1.954139,0.000000,0.000867
CUBE_2,14.502,2.368311,0.000000,0.000667
CUBE_2,14.710,2.783994,0.000000,0.000466
CUBE_2,14.919,3.201974,0.000000,0.000264
CUBE_2,15.125,3.613560,0.000000,0.000066
CUBE_2,15.333,4.028919,0.000000,0.000020
CUBE_2,15.539,4.441459,0.000000,0.000015
CUBE_2,15.746,4.854576,0.000000,0.000010
CUBE_2,15.956,5.275733,0.000000,0.000004
CUBE_2,16.174,5.710568,0.000000,0.000001
CUBE_2,16.382,6.126795,0.000000,0.000000
CUBE_2,16.587,6.538268,0.000000,0.000000
CUBE_2,16.795,6.953453,0.000000,0.000000
CUBE_2,17.011,7.384501,0.000000,0.000000
CUBE_2,17.218,7.799822,0.000000,0.000000
CUBE_2,17.424,8.211354,0.000000,0.000000
CUBE_2,17.650,8.663381,0.000000,0.000000
CUBE_2,17.859,9.080925,0.000000,0.000000
CUBE_2,18.067,9.497383,0.000000,0.000000
CUBE_2,18.275,9.914084,0.000000,0.000000
CUBE_2,18.483,10.328964,0.000000,0.000000
CUBE_2,18.690,10.744478,0.000000,0.000000
CUBE_2,18.897,11.157752,0.000000,0.000000
CUBE_2,19.104,11.570631,0.000000,0.000000
CUBE_2,19.310,11.983803,0.000000,0.000000
CUBE_2,19.518,12.400367,0.000000,0.000000
CUBE_2,19.727,12.816624,0.000000,0.000000
CUBE_2,19.936,13.235642,0.000000,0.000000
CUBE_2,20.148,13.659807,0.000000,0.000000
CUBE_2,20.359,14.081916,0.000000,0.000000
CUBE_2,20.565,14.494446,0.000000,0.000000
CUBE_2,20.773,14.910366,0.000000,0.000000
CUBE_2,20.983,15.328173,0.000000,0.022995
CUBE_2,21.193,15.745710,0.000000,0.066653
CUBE_2,21.402,16.156401,0.000000,0.144328
CUBE_2,21.629,16.590998,0.000000,0.274699
CUBE_2,21.836,16.977463,0.000000,0.418605
CUBE_2,22.044,17.352772,0.000000,0.599075
CUBE_2,22.253,17.710041,0.000000,0.814677
CUBE_2,22.462,18.053942,0.000000,1.050219
CUBE_2,22.673,18.375069,0.000000,1.326440
CUBE_2,22.882,18.667791,0.000000,1.621975
CUBE_2,23.095,18.949024,0.000000,1.941405
CUBE_2,23.306,19.187660,0.000000,2.291182
CUBE_2,23.520,19.403702,0.000000,2.659568
CUBE_2,23.730,19.592527,0.000000,3.033390
CUBE_2,23.939,19.732487,0.000000,3.428193
CUBE_2,24.153,19.851185,0.000000,3.838523
CUBE_2,24.366,19.938120,0.000000,4.255686
CUBE_2,24.573,19.975052,0.000000,4.667336
CUBE_2,24.782,19.988798,0.000000,5.084950
CUBE_2,24.988,19.965925,0.000000,5.496155
CUBE_2,25.202,19.900827,0.000000,5.918198
CUBE_2,25.421,19.874495,0.008931,6.343401
CUBE_2,25.632,20.019239,0.045072,6.737143
CUBE_2,25.841,20.163347,0.081055,7.129171
CUBE_2,26.052,20.308296,0.117246,7.523470
CUBE_2,26.261,20.452044,0.153139,7.914506
CUBE_2,26.471,20.596182,0.189131,8.306636
CUBE_2,26.678,20.738817,0.224745,8.694639
CUBE_2,26.886,20.881718,0.260424,9.083359
CUBE_2,27.095,21.024988,0.296197,9.473097
CUBE_2,27.298,21.166882,0.331461,9.853781
CUBE_2,27.508,21.313301,0.367761,10.243763
CUBE_2,27.717,21.459900,0.404104,10.634203
CUBE_2,27.924,21.605165,0.440116,11.021087
CUBE_2,28.130,21.749535,0.475910,11.405626
CUBE_2,28.339,21.895565,0.512111,11.794545
CUBE_2,28.548,22.041988,0.548411,12.184515
CUBE_2,28.756,22.187805,0.584561,12.572886
CUBE_2,28.963,22.332712,0.620486,12.958833
CUBE_2,29.169,22.477274,0.656321,13.343751
CUBE_2,29.376,22.621870,0.692164,13.728750
CUBE_2,29.619,22.792435,0.734444,14.182891
CUBE_2,29.827,22.937836,0.770490,14.570055
CUBE_2,30.041,23.087847,0.807676,14.969481
CUBE_2,30.250,23.234333,0.843987,15.359514
CUBE_2,30.457,23.379519,0.879974,15.746060
CUBE_2,30.666,23.525549,0.916174,16.134888
CUBE_2,30.874,23.671391,0.952329,16.523233
CUBE_2,31.091,23.823639,0.990072,16.928637
CUBE_2,31.301,23.970743,1.026537,17.320312
CUBE_2,31.511,24.117292,1.062862,17.710489
CUBE_2,31.719,24.263000,1.098980,18.098442
CUBE_2,31.931,24.412132,1.135947,18.495520
CUBE_2,32.140,24.558346,1.172193,18.884844
CUBE_2,32.349,24.704859,1.208514,19.274961
CUBE_2,32.590,24.873312,1.250270,19.723476
CUBE_2,32.798,25.019176,1.286427,20.111849
CUBE_2,33.005,25.164114,1.322356,20.497753
CUBE_2,33.210,25.308077,1.358043,20.881084
CUBE_2,33.418,25.453466,1.394083,21.268190
CUBE_2,33.624,25.597809,1.429865,21.652540
CUBE_2,33.832,25.743166,1.465898,22.039570
CUBE_2,34.040,25.889269,1.502113,22.428576
CUBE_2,34.244,26.032419,1.537601,22.809740
CUBE_2,34.451,26.177349,1.573525,23.195608
CUBE_2,34.662,26.324757,1.610066,23.588114
CUBE_2,34.870,26.470360,1.646160,23.975798
CUBE_2,35.083,26.620022,1.683259,24.374285
CUBE_2,35.309,26.778526,1.722550,24.796318
CUBE_2,35.518,26.924772,1.758802,25.185705
CUBE_2,35.726,27.070307,1.794880,25.573235
CUBE_2,35.940,27.219973,1.831981,25.971727
CUBE_2,36.149,27.366610,1.868330,26.362160
CUBE_2,36.356,27.511681,1.904292,26.748436
CUBE_2,36.583,27.670460,1.943653,27.171219
CUBE_2,36.790,27.815775,1.979675,27.558134
CUBE_2,37.007,27.967758,2.017352,27.962833
